date,MSFT,NOC,KO,WMT,CVX,UBER,NFLX,DDOG,MDB,UPS,PG,GM,DE,AMD,SHOP,HD,ZS,TSLA,SNOW,BILL,BA,XOM,ABNB,META,AMZN,ROKU,NET,LMT,PLTR,NVDA,AAPL,PEP,V,F,JNJ,T,HON,MCD,UNH,CAT,IBM,OKTA,VZ,PFE,JPM,CRWD,DOCU,MMM,GE
2020-01-02,160.62,355.7,54.99,118.94,121.43,30.99,329.81,36.7,134.33,116.79,123.41,37.38,176.86,49.1,407.81,219.66,47.33,430.26,,38.7,333.32,70.9,,209.78,1898.01,137.1,17.03,399.37,,239.91,300.35,135.82,191.12,9.42,145.97,38.86,180.79,200.79,292.5,150.53,135.42,117.31,61.05,39.14,141.09,49.44,75.9,180.0,11.93
2020-01-03,158.62,375.01,54.69,117.89,121.01,31.37,325.9,37.42,135.29,116.72,122.58,36.32,175.55,48.6,404.29,218.93,47.38,443.01,,38.01,332.76,70.33,,208.67,1874.97,137.51,17.17,413.74,,236.07,297.43,135.63,189.6,9.21,144.28,39.06,178.86,200.08,289.54,148.44,134.34,118.29,60.4,38.93,138.34,50.75,75.56,178.45,11.97
2020-01-06,159.03,375.83,54.67,117.65,120.6,31.58,335.83,39.9,140.5,116.2,122.75,35.84,176.81,48.39,413.33,219.96,48.7,451.54,,37.51,333.74,70.87,,212.6,1902.88,143.37,17.69,413.11,,237.06,299.8,136.15,189.19,9.16,144.1,39.1,177.51,202.33,291.55,148.34,134.1,123.43,60.27,38.88,138.23,55.11,75.39,178.62,12.14
2020-01-07,157.58,374.97,54.25,116.56,119.06,32.81,330.75,40.06,138.86,116.0,121.99,35.15,173.74,48.25,414.5,218.52,48.4,469.06,,36.52,337.28,70.29,,213.06,1906.86,138.19,17.67,414.5,,239.93,298.39,134.01,188.69,9.25,144.98,39.25,177.61,202.63,289.79,146.38,134.19,122.89,59.6,38.75,135.88,54.75,75.24,177.9,12.05
2020-01-08,160.09,370.29,54.35,116.16,117.7,33.93,339.26,39.95,140.27,116.66,122.51,34.65,175.9,47.83,418.1,221.79,50.75,492.14,,37.89,331.37,69.23,,215.22,1891.97,134.64,17.78,411.03,,240.38,303.19,134.7,191.92,9.25,144.96,39.37,177.76,205.91,295.9,147.68,135.31,125.55,59.71,39.06,136.94,55.66,76.27,180.63,11.94
2020-01-09,162.09,372.36,55.34,117.36,117.51,33.97,335.66,40.21,149.96,116.93,123.85,35.08,177.6,48.97,430.2,225.19,54.0,481.34,,38.86,336.34,69.76,,218.3,1901.05,133.79,17.02,414.93,,243.02,309.63,134.79,193.25,9.26,145.39,38.8,179.07,208.35,294.22,147.31,136.74,128.52,58.85,38.89,137.44,55.94,75.8,181.2,11.91
2020-01-10,161.34,374.39,55.53,116.38,116.44,34.01,329.05,40.16,149.23,115.87,123.97,34.65,173.43,48.17,429.17,224.22,55.0,478.15,,39.49,329.92,69.14,,218.06,1883.16,128.4,17.48,413.83,,244.32,310.33,134.53,193.77,9.25,145.06,38.57,178.68,207.27,295.13,146.13,136.69,129.39,58.99,39.49,136.07,57.2,74.83,180.47,11.67
2020-01-13,163.28,376.83,56.13,115.88,116.66,34.14,338.92,40.94,152.91,116.75,124.88,34.98,174.74,48.75,440.25,223.34,59.62,524.86,,41.08,330.22,69.8,,221.91,1891.3,133.93,18.36,419.02,,251.98,316.96,136.53,195.33,9.24,145.7,38.1,181.27,206.51,285.85,146.82,136.6,131.16,59.15,39.41,137.2,58.97,74.15,180.92,12.12
2020-01-14,162.13,374.67,56.0,116.18,116.3,34.84,338.69,39.27,152.83,117.27,124.69,35.15,173.67,48.21,441.22,222.81,59.54,537.92,,41.07,332.35,69.2,,219.06,1869.44,133.42,18.7,416.14,,247.28,312.68,136.85,196.05,9.29,146.52,38.09,180.45,207.32,288.24,146.68,135.82,129.03,59.04,40.07,138.8,59.24,72.8,181.37,12.03
2020-01-15,163.18,380.26,56.7,115.28,116.13,35.01,339.07,40.23,152.38,117.93,125.96,35.15,172.92,48.55,448.51,224.59,59.99,518.5,,40.1,329.8,69.09,,221.15,1862.02,132.5,18.85,420.95,,245.57,311.34,139.2,199.8,9.19,147.01,37.87,180.73,209.77,296.41,145.57,136.62,128.57,59.1,40.67,136.72,60.25,73.03,179.78,11.87
