date,MSFT,NOC,KO,WMT,CVX,UBER,NFLX,DDOG,MDB,UPS,PG,GM,DE,AMD,SHOP,HD,ZS,TSLA,SNOW,BILL,BA,XOM,ABNB,META,AMZN
2020-01-02,160.62,355.7,54.99,118.94,121.43,30.99,329.81,36.7,134.33,116.79,123.41,37.38,176.86,49.1,407.81,219.66,47.33,430.26,,38.7,333.32,70.9,,209.78,1898.01
2020-01-03,158.62,375.01,54.69,117.89,121.01,31.37,325.9,37.42,135.29,116.72,122.58,36.32,175.55,48.6,404.29,218.93,47.38,443.01,,38.01,332.76,70.33,,208.67,1874.97
2020-01-06,159.03,375.83,54.67,117.65,120.6,31.58,335.83,39.9,140.5,116.2,122.75,35.84,176.81,48.39,413.33,219.96,48.7,451.54,,37.51,333.74,70.87,,212.6,1902.88
2020-01-07,157.58,374.97,54.25,116.56,119.06,32.81,330.75,40.06,138.86,116.0,121.99,35.15,173.74,48.25,414.5,218.52,48.4,469.06,,36.52,337.28,70.29,,213.06,1906.86
2020-01-08,160.09,370.29,54.35,116.16,117.7,33.93,339.26,39.95,140.27,116.66,122.51,34.65,175.9,47.83,418.1,221.79,50.75,492.14,,37.89,331.37,69.23,,215.22,1891.97
2020-01-09,162.09,372.36,55.34,117.36,117.51,33.97,335.66,40.21,149.96,116.93,123.85,35.08,177.6,48.97,430.2,225.19,54.0,481.34,,38.86,336.34,69.76,,218.3,1901.05
2020-01-10,161.34,374.39,55.53,116.38,116.44,34.01,329.05,40.16,149.23,115.87,123.97,34.65,173.43,48.17,429.17,224.22,55.0,478.15,,39.49,329.92,69.14,,218.06,1883.16
2020-01-13,163.28,376.83,56.13,115.88,116.66,34.14,338.92,40.94,152.91,116.75,124.88,34.98,174.74,48.75,440.25,223.34,59.62,524.86,,41.08,330.22,69.8,,221.91,1891.3
2020-01-14,162.13,374.67,56.0,116.18,116.3,34.84,338.69,39.27,152.83,117.27,124.69,35.15,173.67,48.21,441.22,222.81,59.54,537.92,,41.07,332.35,69.2,,219.06,1869.44
2020-01-15,163.18,380.26,56.7,115.28,116.13,35.01,339.07,40.23,152.38,117.93,125.96,35.15,172.92,48.55,448.51,224.59,59.99,518.5,,40.1,329.8,69.09,,221.15,1862.02
2020-01-16,166.17,383.78,56.82,115.9,116.89,34.68,338.62,40.61,151.9,118.61,126.07,35.55,175.47,49.77,451.3,228.82,61.82,513.49,,41.48,332.0,68.82,,221.77,1877.94
2020-01-17,167.1,379.97,56.94,114.96,115.58,35.13,339.67,41.19,149.39,118.6,126.41,35.6,176.2,50.93,454.88,231.91,59.43,510.5,,43.7,324.15,68.56,,222.14,1864.72
2020-01-21,166.5,378.13,57.17,115.59,113.31,37.6,338.11,41.13,148.68,117.39,126.09,34.99,172.56,51.05,465.44,232.95,60.51,547.2,,43.82,313.37,67.58,,221.44,1892.0
2020-01-22,165.7,375.32,57.61,116.1,112.9,37.04,326.0,42.24,149.96,117.26,126.31,34.91,171.16,51.43,464.76,232.9,59.92,569.56,,46.52,309.0,67.19,,221.32,1887.46
2020-01-23,166.72,381.5,57.83,115.81,113.1,37.4,349.6,42.81,148.57,116.93,124.99,34.88,172.06,51.71,469.25,233.65,59.31,572.2,,46.27,317.79,66.77,,219.76,1884.58
2020-01-24,165.04,381.64,57.68,114.37,111.85,36.8,353.16,42.05,152.11,116.66,125.14,34.31,170.12,50.35,465.48,232.0,57.8,564.82,,47.23,323.05,66.32,,217.94,1861.64
2020-01-27,162.28,379.07,57.48,115.86,110.39,36.3,342.88,41.255,148.77,114.92,125.69,33.41,163.28,49.26,451.11,231.19,56.04,558.02,,46.58,316.6,64.74,,214.87,1828.34
2020-01-28,165.46,381.84,57.01,116.6,111.12,37.01,348.52,42.16,152.57,115.37,126.03,33.64,162.98,50.53,467.66,233.86,56.5,566.9,,48.26,316.56,64.65,,217.79,1853.25
2020-01-29,168.04,382.65,57.01,115.89,110.37,36.99,343.16,43.92,159.31,115.76,125.06,33.6,160.16,47.51,471.67,234.02,57.13,580.99,,48.69,322.02,64.11,,223.23,1858.0
2020-01-30,172.78,384.87,58.86,116.58,111.4,36.68,347.74,47.04,167.43,108.0,125.95,33.33,161.11,48.78,476.88,232.79,57.69,640.81,,48.5,323.3,64.79,,209.53,1870.68
2020-01-31,170.23,374.57,58.4,114.49,107.14,36.29,345.09,46.21,163.91,103.52,124.62,33.39,158.58,47.0,465.66,228.1,56.09,650.57,,50.32,318.27,62.12,,201.91,2008.72
2020-02-03,174.38,363.75,58.58,114.27,106.28,37.59,358.0,45.26,163.33,102.03,125.11,33.72,158.29,48.02,469.39,231.54,56.82,780.0,,51.45,316.0,60.73,,204.19,2004.2
2020-02-04,180.12,361.81,58.84,115.27,106.85,38.53,369.01,47.6,172.15,103.38,125.66,34.37,164.43,49.45,485.46,235.0,58.88,887.06,,52.9,317.94,59.97,,209.83,2049.67
