date,ROKU,NET,LMT,PLTR,NVDA,AAPL,PEP,V,F,JNJ,T,HON,MCD,UNH,CAT,IBM,OKTA,VZ,PFE,JPM,CRWD,DOCU,MMM,GE
2020-01-02,137.1,17.03,399.37,,239.91,300.35,135.82,191.12,9.42,145.97,38.86,180.79,200.79,292.5,150.53,135.42,117.31,61.05,39.14,141.09,49.44,75.9,180.0,11.93
2020-01-03,137.51,17.17,413.74,,236.07,297.43,135.63,189.6,9.21,144.28,39.06,178.86,200.08,289.54,148.44,134.34,118.29,60.4,38.93,138.34,50.75,75.56,178.45,11.97
2020-01-06,143.37,17.69,413.11,,237.06,299.8,136.15,189.19,9.16,144.1,39.1,177.51,202.33,291.55,148.34,134.1,123.43,60.27,38.88,138.23,55.11,75.39,178.62,12.14
2020-01-07,138.19,17.67,414.5,,239.93,298.39,134.01,188.69,9.25,144.98,39.25,177.61,202.63,289.79,146.38,134.19,122.89,59.6,38.75,135.88,54.75,75.24,177.9,12.05
2020-01-08,134.64,17.78,411.03,,240.38,303.19,134.7,191.92,9.25,144.96,39.37,177.76,205.91,295.9,147.68,135.31,125.55,59.71,39.06,136.94,55.66,76.27,180.63,11.94
2020-01-09,133.79,17.02,414.93,,243.02,309.63,134.79,193.25,9.26,145.39,38.8,179.07,208.35,294.22,147.31,136.74,128.52,58.85,38.89,137.44,55.94,75.8,181.2,11.91
2020-01-10,128.4,17.48,413.83,,244.32,310.33,134.53,193.77,9.25,145.06,38.57,178.68,207.27,295.13,146.13,136.69,129.39,58.99,39.49,136.07,57.2,74.83,180.47,11.67
2020-01-13,133.93,18.36,419.02,,251.98,316.96,136.53,195.33,9.24,145.7,38.1,181.27,206.51,285.85,146.82,136.6,131.16,59.15,39.41,137.2,58.97,74.15,180.92,12.12
2020-01-14,133.42,18.7,416.14,,247.28,312.68,136.85,196.05,9.29,146.52,38.09,180.45,207.32,288.24,146.68,135.82,129.03,59.04,40.07,138.8,59.24,72.8,181.37,12.03
2020-01-15,132.5,18.85,420.95,,245.57,311.34,139.2,199.8,9.19,147.01,37.87,180.73,209.77,296.41,145.57,136.62,128.57,59.1,40.67,136.72,60.25,73.03,179.78,11.87
2020-01-16,131.07,18.96,425.7,,248.93,315.24,139.61,200.95,9.17,148.2,38.03,182.26,210.85,300.74,147.87,137.98,128.4,59.67,40.61,137.25,62.24,73.08,181.01,11.84
2020-01-17,130.38,18.6,425.66,,249.28,318.73,141.26,204.7,9.16,149.17,38.38,183.23,211.98,298.47,147.78,138.31,125.83,60.13,40.51,138.2,63.45,72.53,181.35,11.81
2020-01-21,136.63,18.0,426.15,,247.94,316.57,141.86,207.29,9.21,149.27,38.52,180.93,211.16,300.53,145.85,139.17,125.26,60.32,40.34,136.84,62.24,73.13,179.39,11.66
2020-01-22,132.43,18.05,424.42,,250.11,317.7,143.38,207.9,9.16,148.25,39.04,180.05,211.44,300.59,142.63,143.89,125.02,60.48,40.19,136.68,62.57,74.42,178.03,11.37
